arbre;
aspirateur;
avion;
baleine;
ballon;
canard;
carotte;
chapeau;
chat;
cheval;
chien;
coq;
crayon;
cuillère;
dent;
dindon;
domino;
écureuil;
fraise;
fourchette;
guitare;
hibou;
hippocampe;
hérisson;
iguane;
jaune;
kangourou;
koala;
lapin;
lion;
lune;
maison;
mario;
marteau;
montre;
mouton;
noisette;
nuage;
oiseau;
orange;
papillon;
pomme;
poule;
poussin;
requin;
réveil;
salade;
soleil;
souris;
tortue;
tracteur;
voiture;
xylophone;
zèbre;
